name,year,km_driven,mileage,engine,max_power,selling_price
Chevrolet Spark 1.0,2008,70000,18,995,62,45000
Maruti Ertiga SHVS VDI,2016,80000,24.52,1248,88.5,640000
Mahindra Scorpio S2 9 Seater,2015,110000,15.4,2523,75,650000
Mahindra Scorpio LX,2013,115717,12.05,2179,120,500000
Ford Fusion Plus 1.4 TDCi Diesel,2008,110000,17.7,1399,68,90000
Tata Aria Pure LX 4x2,2014,70000,15.05,2179,147.9,480000
Maruti Swift VXI,2019,4000,21.21,1197,81.8,630000
Hyundai i10 Sportz,2011,50000,20.36,1197,78.9,250000
Hyundai Grand i10 Sportz,2016,70000,18.9,1197,82,330000
Hyundai i10 Magna,2009,70000,20.36,1197,78.9,180000
Hyundai i20 Magna,2010,50000,18.5,1197,80,210000
Maruti Swift Dzire ZDI,2016,55000,26.59,1248,74,550000
Tata Nexon 1.2 Revotron XZA Plus,2020,5000,17,1198,108.5,950000
Mahindra Bolero 2011-2019 ZLX,2013,100000,15.96,2523,62.1,430000
Hyundai i10 Sportz,2014,23000,20.36,1197,78.9,348000
Maruti Alto 800 LX,2014,60000,22.74,796,47.3,196000
Maruti Wagon R LXI Minor,2010,70000,18.9,1061,67,150000
Maruti Wagon R LXI Minor,2009,60000,18.9,1061,67,150000
Tata Safari Storme VX Varicor 400,2019,100000,14.1,2179,153.86,1250000
Maruti Ertiga VDI,2015,90000,20.77,1248,88.76,600000
Tata Nano Lx BSIV,2010,26432,25.4,624,37.48,65000
Maruti Omni E 8 Str STD,2016,46702,16.8,796,34.2,220000
Maruti Omni E 8 Str STD,2016,46706,16.8,796,34.2,220000
Tata Indica V2 eXeta GLS,2006,53523,16.84,1193,64.4,110000
Chevrolet Beat Diesel LT,2012,56365,25.44,936,56.3,175000
Chevrolet Spark 1.0 LT,2011,49563,16.2,995,62.1,160000
Maruti 800 Std BSIII,2004,56432,16.1,796,37,65000
Maruti 800 AC,2002,52365,16.1,796,37,60000
Maruti Alto LXi BSIII,2007,53512,19.7,796,46.3,120000
Mahindra Ssangyong Rexton RX7,2013,40000,11.18,2696,184,1000000
Maruti Wagon R LXI BS IV,2010,46533,18.9,998,67.1,220000
Maruti Omni 8 Seater BSIV,2008,58632,14,796,35,114999
Mahindra XUV500 AT W6 2WD,2016,80000,16,2179,140,850000
Maruti Ertiga SHVS VDI,2016,70000,24.52,1248,88.5,750000
Renault KWID 1.0 RXT Optional,2017,90000,23.01,999,67,265000
Ford Classic 1.6 Duratec Titanium,2014,110000,14.09,1596,99.6,450000
Mahindra Quanto C6,2013,90000,17.21,1493,100,225000
Mahindra Scorpio S10 7 Seater,2015,70000,15.4,2179,120,1125000
Maruti Swift VXI with ABS,2009,80000,16.6,1197,85,270000
Maruti Alto LX,2007,78000,19.7,796,46.3,130000
Mahindra Bolero Power Plus SLE,2017,45000,16.5,1493,70,660000
Maruti Alto K10 VXI,2015,50000,23.95,998,67.05,240000
Maruti Alto 800 LXI,2017,58000,24.7,796,47.3,275000
Toyota Innova 2.5 VX 8 STR BSIV,2012,120000,12.8,2494,102,750000
Chevrolet Aveo U-VA 1.2,2007,30000,14.7,1150,76,65000
Tata Safari Storme EX,2017,162000,14.1,2179,147.94,850000
Maruti Wagon R LXI CNG,2016,50000,26.6,998,58.16,300000
Hyundai i20 1.2 Magna Executive,2018,25000,18.6,1197,81.83,555000
Mahindra Scorpio 1.99 S6 Plus,2015,60000,15.4,1997,120,825000
Hyundai Santro Xing GLS LPG,2010,70000,13.45,1086,62.1,150000
Maruti Swift Dzire VDi,2009,138000,19.3,1248,73.9,185000
Hyundai i10 Magna,2010,70000,20.36,1197,78.9,180000
Maruti Alto LXi,2010,48000,19.7,796,46.3,160000
Ford Endeavour 3.0L 4X2 AT,2012,110000,11.4,2953,153.86,500000
Maruti Swift VDI BSIV,2014,88000,25.2,1248,74,375000
Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,68000,12.99,2494,100.6,900000
Hyundai Grand i10 Sportz,2017,70000,18.9,1197,82,459999
Renault Duster 85PS Diesel RxL,2014,80000,20.45,1461,83.8,480000
Maruti Swift VDI,2013,100000,22.9,1248,74,320000
Maruti Swift VDI,2013,96000,22.9,1248,74,370000
Maruti Zen LX,2002,30000,17.3,993,60,75000
Maruti Ritz LDi,2016,60000,23.2,1248,73.94,400000
Maruti Swift VDI BSIV,2014,65000,25.2,1248,74,425000
Maruti Celerio ZXI,2014,48000,23.1,998,67.04,325000
Hyundai Grand i10 Magna,2016,65300,18.9,1197,82,350000
Hyundai i20 1.2 Asta Dual Tone,2018,40000,18.6,1197,81.83,600000
Chevrolet Beat Diesel,2012,60000,25.44,936,57.6,120000
Maruti Alto K10 2010-2014 VXI,2012,70000,20.92,998,67.1,200000
Maruti Alto LXi BSIII,2008,70000,19.7,796,46.3,100000
Hyundai Grand i10 CRDi Asta,2014,70000,24,1120,70,350000
Maruti Alto LXi,2006,150000,19.7,796,46.3,85000
Maruti Alto K10 VXI Optional,2019,10000,23.95,998,67.05,399000
Hyundai Verna 1.6 CRDI,2014,56000,22.32,1582,126.3,580000
Datsun RediGO T Option,2017,30000,22.7,799,53.64,290000
Hyundai Grand i10 Magna,2014,50000,18.9,1197,82,380000
Ford Figo Diesel EXI,2010,120000,20,1399,68,200000
Maruti Wagon R LXI CNG,2018,40000,26.6,998,58.16,390000
Hyundai Grand i10 1.2 Kappa Asta,2017,27500,18.9,1197,81.86,500000
Maruti Ertiga VDI,2012,73000,20.77,1248,88.76,520000
Maruti Swift Dzire VDI,2017,75000,26.59,1248,74,650000
Renault KWID Climber 1.0 MT,2018,5000,23.01,999,67,380000
Maruti Wagon R LXI LPG BSIV,2010,50000,26.2,998,58.2,275000
Maruti Swift Dzire VDI,2015,70000,26.59,1248,74,520000
Maruti Swift Dzire VDI,2015,60000,26.59,1248,74,610000
Maruti Wagon R LXI,2004,110000,18.9,998,67.1,85000
Renault Duster 85PS Diesel RxL Optional,2013,95000,20.46,1461,83.8,490000
Hyundai EON Era Plus,2015,34000,21.1,814,55.2,229999
Hyundai Grand i10 Sportz,2015,25000,18.9,1197,82,411000
Maruti Eeco CNG 5 Seater AC BSIV,2019,120000,21.94,1196,61.7,362000
Toyota Etios Cross 1.4L GD,2014,31000,23.59,1364,67.06,550000
Maruti Wagon R LXI CNG,2018,70000,26.6,998,58.16,459999
Maruti Ritz VXi (ABS) BS IV,2011,47000,18.5,1197,85.8,190000
Hyundai Santro Magna AMT BSIV,2019,5000,20.3,1086,68,499000
Maruti Eeco 7 Seater Standard BSIV,2018,44000,15.37,1196,73,358000
Toyota Etios Diesel TRD Sportivo,2012,120000,23.59,1364,67.1,278000
Fiat Grande Punto EVO 1.3 Active,2014,39395,21.2,1248,75,320000
Renault Fluence 1.5,2013,67000,20.4,1461,108.5,580000
Honda City VX CVT,2019,20000,17.4,1497,117.6,1300000
Honda Amaze VX i-DTEC,2018,40000,25.8,1498,98.6,825000
Toyota Corolla AE,2004,120000,13.4,1794,125,170000
Toyota Fortuner 4x4 MT,2014,80000,12.55,2982,168.5,1700000
Hyundai Santro Sportz BSIV,2018,7000,20.3,1086,68,490000
Mahindra XUV500 W4,2018,15000,16,2179,140,1050000
Chevrolet Beat LT,2016,50000,18.6,1199,76.8,210000
Mahindra Scorpio Intelli Hybrid S10,2016,30000,15.4,2179,120,1250000
Maruti Swift VDI,2012,120000,22.9,1248,74,320000
Chevrolet Optra Magnum 2.0 LT,2012,64000,16.52,1991,123.7,400000
Maruti Ritz VDi,2013,120000,23.2,1248,73.94,320000
Toyota Corolla Altis Diesel D4DG,2012,85000,21.43,1364,87.2,600000
Maruti Alto K10 2010-2014 VXI,2012,50000,20.92,998,67.1,275000
Maruti Alto LXi,2009,59000,19.7,796,46.3,170000
Chevrolet Beat Diesel LT,2012,98000,25.44,936,57.6,155000
Renault Duster 85PS Diesel RxL Plus,2015,140000,20.45,1461,83.8,620000
Hyundai Grand i10 1.2 Kappa Sportz Option,2017,50000,18.9,1197,81.86,530000
Toyota Etios Liva VD,2015,40000,23.59,1364,67.04,550000
Honda City i DTEC SV,2014,90000,26,1498,98.6,600000
Mahindra XUV500 W4,2014,117000,15.1,2179,140,649000
Honda City i DTEC SV,2014,90000,26,1498,98.6,625000
Chevrolet Spark 1.0 PS,2010,70000,16,995,63,125000
Chevrolet Tavera Neo 3 LS 9 Str BSIII,2009,230000,13.58,2499,72.4,305000
Maruti SX4 ZXI MT BSIV Leather,2010,155000,15.5,1586,103.3,285000
Tata Xenon XT EX 4X4,2015,60000,13.49,2179,138.03,600000
Mahindra KUV 100 mFALCON G80 K8,2016,110000,18.15,1198,82,426000
Tata Indica Vista Terra 1.4 TDI,2010,120000,17,1405,71,180000
Hyundai Verna 1.6 VGT CRDi,2011,100000,22.32,1582,126.32,400000
Chevrolet Beat LS,2010,40000,18.6,1199,79.4,120000
Tata Manza Aura (ABS) Quadrajet BS IV,2012,110000,21.12,1248,88.8,300000
Maruti Alto K10 2010-2014 VXI,2011,92500,20.92,998,67.1,190000
Maruti Alto 800 LXI,2017,20000,24.7,796,47.3,310000
Renault KWID RXL,2019,15000,25.17,799,53.3,380000
Mahindra Bolero Power Plus ZLX,2019,14000,16.5,1493,70,740000
Datsun RediGO T Option,2016,35000,22.7,799,53.64,260000
Maruti Alto K10 VXI,2017,32000,23.95,998,67.05,320000
Maruti Wagon R LXI CNG,2013,90000,26.6,998,58.16,211000
Maruti Swift Dzire VXI 1.2 BS IV,2018,35000,22,1197,81.8,650000
Maruti Swift Dzire VDI,2017,32500,28.4,1248,74.02,651000
Maruti Alto K10 VXI AGS,2019,14000,23.95,998,67.05,380000
Chevrolet Beat Diesel LT,2014,70000,25.44,936,56.3,160000
Hyundai Verna VTVT 1.6 AT SX Option,2019,20000,17,1591,121.3,1270000
Maruti Wagon R Duo Lxi,2011,300000,26.2,998,58.2,300000
Maruti Swift VDI Optional,2015,100000,25.2,1248,74,405000
Mahindra XUV500 W8 2WD,2015,64800,15.1,2179,140,850000
Mahindra Bolero Power Plus ZLX,2017,90000,16.5,1493,70,680000
Hyundai Xcent 1.2 Kappa SX Option,2014,80000,19.1,1197,82,426999
Hyundai Verna 1.4 CRDi,2015,248000,24.8,1396,88.7,525000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,60000,12.99,2494,100.6,1019999
Toyota Innova 2.5 G2,2005,120000,12.8,2494,102,245000
Hyundai Elantra CRDi SX,2015,120000,22.7,1582,126.2,869999
Maruti Wagon R Duo Lxi,2010,66444,26.2,998,58.2,160000
Maruti Vitara Brezza VDi Option,2016,86000,24.3,1248,88.5,700000
Nissan Sunny Diesel XV,2012,90000,21.64,1461,84.8,300000
Honda Civic 1.8 S AT,2007,218463,12.9,1799,130,175000
Toyota Innova 2.5 VX 8 STR,2012,153000,12.8,2494,102,960000
Mahindra Thar CRDe AC,2014,70000,16.55,2498,105,525000
Hyundai Grand i10 CRDi Sportz,2015,60000,24,1120,70,345000
Honda Amaze S i-Vtech,2015,50000,18,1198,86.7,390000
Datsun GO T Option BSIV,2015,20000,20.63,1198,67,275000
Chevrolet Sail 1.2 LS ABS,2014,35000,18.2,1199,82.4,310000
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2017,20000,18.9,1197,81.86,500000
Chevrolet Sail Hatchback LT ABS,2013,70000,22.1,1248,76.9,200000
Volkswagen Polo 2015-2019 1.5 TDI Highline Plus,2018,53000,20.14,1498,88,650000
Honda City i-DTEC VX,2018,60000,25.6,1498,97.9,1031000
Hyundai EON 1.0 Era Plus,2018,70000,20.3,998,68.05,330000
Hyundai Santro Era,2019,4000,20.3,1086,68,399000
Hyundai i10 Magna,2012,103000,20.36,1197,78.9,250000
Hyundai Grand i10 1.2 CRDi Sportz Option,2017,20000,24,1186,73.97,600000
Maruti Swift VDI,2013,77000,22.9,1248,74,375000
Volkswagen Vento Diesel Highline,2012,90000,20.54,1598,103.6,375000
Hyundai Verna 1.6 CRDi EX MT,2013,87185,22.32,1582,126.3,445000
Maruti Wagon R LXI,2003,167000,18.9,998,67.1,55000
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,77000,22.54,1396,88.73,611000
Hyundai Verna 1.4 CRDi,2014,110000,24.8,1396,88.7,459999
Ford Fiesta EXi 1.4 TDCi Ltd,2011,120000,17.8,1399,68,275000
Hyundai Santro Xing GLS CNG,2011,170000,11.88,1086,62.1,185000
Hyundai Verna 1.6 SX,2012,100000,22.32,1582,126.32,390000
Chevrolet Spark 1.0 LT,2007,40000,18,995,62,72000
Tata Indica V2 DL BSIII,2007,50000,17.88,1396,52.8,90000
Toyota Etios GD,2015,125000,23.59,1364,67.05,500000
Maruti Wagon R LXI CNG,2011,137000,26.2,998,58.2,200000
Mahindra XUV500 W9 BSIV,2019,18000,15.1,2179,152.87,1575000
Hyundai Grand i10 Sportz,2015,30000,18.9,1197,82,511000
Fiat Grande Punto 1.4 Emotion,2009,55000,14.6,1368,88.7,150000
Toyota Innova Crysta 2.7 GX AT 8 STR,2020,40000,10.75,2694,163.7,1500000
Maruti Alto 800 LXI,2013,80000,22.74,796,47.3,185000
Maruti Baleno Delta 1.2,2018,30000,21.4,1197,83.1,550000
Maruti Alto K10 VXI,2017,3564,23.95,998,67.05,325000
Maruti Swift Dzire VDI Optional,2015,80000,26.59,1248,74,525000
Force One SX ABS 7 Seating,2018,13000,17,2200,139.01,1050000
Tata Indigo CS eVX,2012,120000,25,1396,69,300000
Chevrolet Beat LT,2011,90000,18.6,1199,79.4,120000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,13.6,1999,177,2625000
Lexus ES 300h,2019,20000,22.37,2487,214.56,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,45000,19.33,1999,177,3200000
Tata Safari Storme EX,2015,110000,14.1,2179,147.94,503000
Volvo XC40 D4 Inscription BSIV,2019,20000,18,1969,190,3800000
Toyota Camry 2.5 Hybrid,2016,68089,19.16,2494,157.7,2000000
Maruti Wagon R LXI,2013,58343,21.79,998,67.05,225000
Maruti Baleno Alpha 1.3,2018,38817,27.39,1248,74,740000
Honda Jazz VX,2016,56494,18.2,1199,88.7,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,79328,12.99,2494,100.6,750000
Maruti Swift AMT VVT VXI,2019,5621,22,1197,81.8,650000
Toyota Etios VX,2017,25538,16.78,1496,88.73,625000
Maruti Swift AMT ZXI,2018,69779,22,1197,81.8,600000
Hyundai Grand i10 1.2 CRDi Sportz,2017,56290,24,1186,73.97,450000
BMW X4 M Sport X xDrive20d,2019,7500,16.78,1995,190,5400000
BMW X4 M Sport X xDrive20d,2019,8500,16.78,1995,190,5500000
Honda Amaze V CVT Petrol BSIV,2019,7032,19,1199,88.76,779000
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,14.3,1598,103.5,645000
Volvo V40 D3 R-Design,2018,2000,16.8,1984,150,2475000
Hyundai Santro Xing GLS,2011,50000,17.92,1086,62.1,170000
Tata Indigo CS eLX BS IV,2010,42000,23.03,1396,69,320000
Maruti Celerio ZXI AT,2016,17000,23.1,998,67.04,350000
Maruti Swift AMT VXI,2018,40000,22,1197,81.8,500000
Tata Indigo LS,2009,137000,17,1405,70,135000
Renault KWID RXL,2018,20000,25.17,799,53.3,340000
Hyundai Grand i10 Sportz,2020,70000,18.9,1197,81.86,330000
Maruti SX4 Vxi BSIV,2011,48756,15.5,1586,103.3,350000
Toyota Fortuner 4x2 AT,2015,30000,12.55,2982,168.5,1850000
Hyundai Xcent 1.1 CRDi SX,2016,110000,24.4,1120,71,400000
Ford Fiesta Classic 1.4 Duratorq CLXI,2014,80322,17.8,1399,67,325000
Mahindra Scorpio 1.99 S4,2015,35000,15.4,1997,120,1000000
Mahindra Scorpio S2 7 Seater,2017,110000,15.4,2523,75,850000
Maruti SX4 ZDI Leather,2012,70000,21.5,1248,88.8,350000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,13.6,1999,177,2625000
Lexus ES 300h,2019,20000,22.37,2487,214.56,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,45000,19.33,1999,177,3200000
Tata Safari Storme EX,2015,110000,14.1,2179,147.94,503000
Volvo XC40 D4 Inscription BSIV,2019,20000,18,1969,190,3800000
Toyota Camry 2.5 Hybrid,2016,68089,19.16,2494,157.7,2000000
Maruti Wagon R LXI,2013,58343,21.79,998,67.05,225000
Maruti Baleno Alpha 1.3,2018,38817,27.39,1248,74,740000
Honda Jazz VX,2016,56494,18.2,1199,88.7,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,79328,12.99,2494,100.6,750000
Maruti Swift AMT VVT VXI,2019,5621,22,1197,81.8,650000
Toyota Etios VX,2017,25538,16.78,1496,88.73,625000
Maruti Swift AMT ZXI,2018,69779,22,1197,81.8,600000
Hyundai Grand i10 1.2 CRDi Sportz,2017,56290,24,1186,73.97,450000
BMW X4 M Sport X xDrive20d,2019,7500,16.78,1995,190,5400000
BMW X4 M Sport X xDrive20d,2019,8500,16.78,1995,190,5500000
Honda Amaze V CVT Petrol BSIV,2019,7032,19,1199,88.76,779000
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,14.3,1598,103.5,645000
Volvo V40 D3 R-Design,2018,2000,16.8,1984,150,2475000
Honda Mobilio RS i DTEC,2015,120000,24.5,1498,98.6,550000
Tata Safari Storme VX,2015,60000,14,2179,138.1,925000
Mahindra Scorpio VLX AT AIRBAG BSIV,2010,97000,11.79,2179,120,509999
Mahindra Xylo D2,2011,100000,13,2489,95,250000
Hyundai i20 Active 1.2 SX,2015,36000,17.19,1197,81.86,500000
Hyundai Creta 1.4 CRDi S,2019,27000,21.38,1396,88.7,1050000
Maruti Swift Dzire VDI,2014,50000,23.4,1248,74,490000
Maruti Eeco 5 Seater AC BSIV,2020,15000,15.37,1196,73,415000
Maruti Alto 800 LXI Anniversary Edition,2013,60000,22.74,796,47.3,190000
Maruti Swift Dzire VDI,2018,120000,28.4,1248,74.02,680000
Maruti Alto 800 LXI Airbag,2013,60000,22.74,796,47.3,190000
Mahindra Scorpio 2009-2014 SLE 7S BSIV,2013,173000,12.05,2179,120,479000
Maruti Alto 800 LXI,2016,60000,22.74,796,47.3,270000
Hyundai i10 Era,2008,70000,19.81,1086,68.05,170000
Maruti Ciaz 1.4 Alpha,2018,25000,20.73,1373,91.1,764000
Mahindra Bolero 2011-2019 SLE,2019,30000,15.96,2523,62.1,710000
Maruti Alto 800 VXI,2017,35000,24.7,796,47.3,310000
Mahindra Bolero Power Plus SLX,2017,100000,16.5,1493,70,620000
Hyundai EON Sportz,2017,31000,21.1,814,55.2,280000
Toyota Fortuner 4x2 AT,2015,80000,12.55,2982,168.5,1500000
Hyundai Grand i10 Asta Option,2016,40000,18.9,1197,82,450000
Mercedes-Benz GLA Class 200 D Sport Edition,2017,10000,17.9,2143,136,2199000
Mercedes-Benz M-Class ML 350 CDI,2013,50000,11.74,2987,254.8,3600000
Ford Fiesta Classic 1.6 SXI Duratec,2008,60000,15.3,1596,99.6,285000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2007,210000,12.8,2494,102,465000
BMW 3 Series 320d Highline,2009,60000,16.07,1995,181,1100000
Volkswagen Vento Diesel Highline,2011,110000,20.54,1598,103.6,350000
Maruti Ertiga BSIV LXI,2017,35000,17.5,1373,91.1,600000
Maruti Baleno Delta 1.2,2017,35000,21.4,1197,83.1,570000
Maruti Alto K10 VXI,2016,20000,23.95,998,67.05,325000
Mahindra XUV500 AT W6 1.99 mHawk,2016,54000,16,1997,140,975000
Hyundai i20 2015-2017 Sportz Option 1.2,2015,60000,18.6,1197,81.83,480000
Maruti Alto 800 Base,2014,10300,22.74,796,47.3,185000
Hyundai Creta 1.6 CRDi AT SX Plus,2015,50000,17.01,1582,126.2,1050000
Maruti Baleno Alpha,2019,3000,21.01,1197,81.8,760000
Volkswagen Polo 2015-2019 1.0 MPI Trendline,2019,5000,18.78,999,75,570000
Maruti Baleno Alpha 1.2,2018,13000,21.4,1197,83.1,700000
Ford EcoSport 1.5 Ti VCT AT Titanium BSIV,2015,30000,15.63,1499,110.4,775000
BMW 7 Series 730Ld,2007,60000,14.49,2993,258,750000
Chevrolet Spark 1.0 LS,2010,100000,18,995,62,140000
Maruti Alto 800 Base,2016,40000,22.74,796,47.3,220000
Hyundai Santro Xing (Non-AC),2013,15000,0,1086,62.1,184000
Hyundai i20 2015-2017 Sportz 1.2,2017,50000,18.6,1197,81.83,440000
Hyundai i20 Active 1.4 SX,2017,80000,21.19,1396,88.73,650000
Mahindra TUV 300 T8 AMT,2017,50000,18.49,1493,100,660000
Maruti Eeco CNG 5 Seater AC BSIV,2017,30000,21.94,1196,61.7,380000
Toyota Corolla Altis Diesel D4DG,2012,125000,21.43,1364,87.2,415000
Hyundai i10 Magna 1.1L,2012,110000,19.81,1086,68.05,225000
Maruti Ertiga VDI,2013,30000,20.77,1248,88.76,600000
Maruti Ertiga ZDI,2014,148000,20.77,1248,88.8,620000
Mahindra TUV 300 T6 Plus,2016,35000,18.49,1493,100,750000
Hyundai Grand i10 Magna,2016,80000,18.9,1197,82,400000
Maruti Wagon R LX,2005,110000,18.9,998,67.1,110000
Tata Indica Vista TDI LS,2012,95000,19.4,1405,70,119000
Honda Amaze S i-Dtech,2015,25000,25.8,1498,98.6,600000
Maruti Zen Estilo LXI Green (CNG),2011,80000,26.3,998,67.1,200000
Tata Zest Quadrajet 1.3 XMS,2014,60000,23,1248,88.7,280000
Skoda Rapid 1.6 MPI Ambition,2013,100000,15,1598,105,375000
Datsun GO Plus T Option BSIV,2016,50000,19.44,1198,67,350000
Hyundai Xcent 1.2 CRDi SX Option,2017,31000,25.4,1186,73.97,620000
Maruti Swift Dzire VDI,2017,120000,26.59,1248,74,570000
Maruti Swift Dzire VDi,2012,105000,19.3,1248,73.9,290000
Maruti Ertiga SHVS ZDI Plus,2016,120000,24.52,1248,88.5,711000
Maruti Swift VDI,2012,60000,22.9,1248,74,370000
Maruti Dzire LXI,2020,15000,23.26,1197,88.5,550000
Maruti Swift VXI,2013,150000,18.6,1197,85.8,325000
Honda Amaze VX Diesel BSIV,2018,93000,27.4,1498,98.63,670000
Hyundai i10 Magna 1.1L,2017,42000,19.81,1086,68.05,385000
Hyundai Santro Xing GLS,2008,80000,17.92,1086,62.1,114999
Hyundai Santro Xing GLS,2010,90000,17.92,1086,62.1,200000
Maruti Vitara Brezza VDi AMT,2019,6500,24.3,1248,88.5,860000
Maruti Baleno Delta 1.3,2018,60000,27.39,1248,74,600000
Maruti Alto K10 VXI,2016,110000,23.95,998,67.05,265000
Tata Indica V2 Emax CNG GLX,2015,60000,23.7,1193,55.23,155000
Maruti S-Cross 2017-2020 Delta DDiS 200 SH,2019,60000,25.1,1248,88.5,900000
Maruti Ertiga VDI,2013,170000,20.77,1248,88.76,650000
Maruti 800 EX,2004,220000,16.1,796,37,70000
Maruti Alto 800 LXI,2012,80000,22.74,796,47.3,180000
Hyundai EON Magna Plus,2013,57000,21.1,814,55.2,200000
Hyundai i10 Magna 1.1L,2014,100000,19.81,1086,68.05,300000
Hyundai Verna 1.6 VTVT S,2015,40000,17.01,1591,121.3,650000
Maruti Alto 800 LXI,2014,40000,22.74,796,47.3,267000
Maruti Wagon R LXI CNG,2018,50000,26.6,998,58.16,450000
Hyundai Grand i10 Sportz,2014,90000,18.9,1197,82,400000
Mahindra Xylo D4 BSIV,2012,86000,14,2498,112,310000
Tata Nano Cx,2009,15000,26,624,35,70000
Mahindra Bolero 2011-2019 EX AC,2017,70000,15.96,2523,62.1,675000
Ford Classic 1.6 Duratec Titanium,2013,120000,14.09,1596,99.6,350000
Maruti Alto K10 VXI,2014,80000,23.95,998,67.05,240000
Tata Indigo CS LX (TDI) BS-III,2014,80000,19.09,1405,69.01,185000
Hyundai EON Era Plus,2017,50000,21.1,814,55.2,250000
Maruti Alto LXi,2009,100000,19.7,796,46.3,135000
Hyundai Verna 1.6 SX,2011,80000,22.32,1582,126.32,500000
Tata New Safari DICOR 2.2 VX 4x2,2010,108957,13.93,2179,138,300000
Tata Tiago 1.2 Revotron XT,2017,68000,23.84,1199,84,328000
Mahindra Bolero 2011-2019 SLE BSIII,2015,65000,15.96,2523,62.1,509999
Mahindra Xylo H9,2015,110000,14.02,2179,118.3,575000
Mahindra Xylo E8 ABS Airbag BSIV,2012,50000,12.2,2498,112,700000
Maruti Wagon R LXI Minor,2008,100000,18.9,1061,67,105000
Maruti 800 AC,2008,80000,16.1,796,37,60000
Maruti Alto LXi BSIII,2008,80000,19.7,796,46.3,112999
Tata Indica Vista TDI LS,2015,120000,19.1,1405,70,229999
Ford Figo Diesel ZXI,2012,150000,20,1399,68,325000
Hyundai i20 1.2 Spotz,2017,20000,18.6,1197,81.83,650000
Tata Indigo LX,2009,80000,17,1405,70,85000
Honda Mobilio RS Option i DTEC,2015,93000,24.5,1498,98.6,570000
Maruti Swift VDI BSIV,2015,134000,25.2,1248,74,525000
Hyundai i20 Magna,2013,90000,18.5,1197,82.85,350000
Maruti Swift VXI with ABS,2007,60000,16.6,1197,85,250000
Mahindra Xylo D2 BS IV,2010,120000,14,2489,95,300000
Jeep Compass 2.0 Limited Option,2017,30000,17.1,1956,170,1325000
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,22200,22.54,1396,88.73,650000
Hyundai Grand i10 1.2 Kappa Sportz Option,2018,6000,18.9,1197,81.86,520000
Maruti Swift VXI Deca,2016,32000,20.4,1197,81.8,500000
Renault KWID RXL,2016,90000,25.17,799,53.3,220000
Maruti Ciaz 1.3 Alpha,2017,78000,28.09,1248,88.5,650000
Honda WR-V i-VTEC VX,2017,12000,17.5,1199,88.7,819999
Renault Duster 85PS Diesel RxL Explore,2016,120000,19.87,1461,83.8,645000
Maruti Ertiga SHVS VDI,2015,40000,24.52,1248,88.5,780000
Honda City 2017-2020 EXi,2008,110000,17.7,1497,78,215000
Toyota Innova 2.5 V Diesel 7-seater,2007,260000,12.8,2494,102,600000
Maruti Alto LX,2011,10000,19.7,796,46.3,114999
Tata Indica V2 LSi,2012,12000,16.84,1193,64.4,75000
Chevrolet Beat LT,2011,60000,18.6,1199,79.4,120000
Renault KWID RXT Optional,2016,41000,25.17,799,53.3,250000
Maruti Omni E MPI STD BS IV,2018,25000,16.8,796,34.2,200000
Hyundai Xcent 1.2 Kappa S,2015,30000,19.1,1197,82,380000
Honda Amaze S Option i-DTEC,2018,50000,25.8,1498,98.6,560000
Maruti Ignis 1.2 Zeta BSIV,2018,10000,20.89,1197,81.8,575000
Mahindra Bolero Power Plus SLE,2017,40000,16.5,1493,70,620000
Mahindra Scorpio VLX 2WD AIRBAG BSIII,2012,120000,12.05,2179,120,525000
Maruti Swift Dzire VDI,2017,40000,26.59,1248,74,635000
Renault Duster Adventure Edition RXZ AWD,2016,80000,19.72,1461,108.45,650000
Maruti 800 Std,2001,42108,16.1,796,37,39000
Ford Figo Aspire 1.5 TDCi Titanium Opt,2017,70000,25.83,1498,99,550000
Maruti Ritz VDi,2009,150000,21.1,1248,73.9,145000
Tata Indigo LS,2007,100000,16.1,1405,70,130000
Maruti Ertiga ZDI Plus,2017,79000,25.47,1248,88.5,825000
Toyota Fortuner 4x2 AT,2015,91000,12.55,2982,168.5,1650000
Maruti Vitara Brezza ZDi,2018,50000,24.3,1248,88.5,875000
Maruti Ciaz ZDi Plus SHVS,2016,81000,28.09,1248,88.5,650000
Jaguar XF 3.0 Litre S Premium Luxury,2014,51000,14.74,2993,270.9,2000000
BMW X1 sDrive 20d Sportline,2018,27000,17.05,1995,184,2850000
Audi Q3 35 TDI Quattro Premium Plus,2018,26000,15.73,1968,174.33,2800000
BMW 5 Series 520d Sport Line,2018,17100,22.48,1995,187.74,3900000
